transaction_id,account_number,customer_id,amount,currency,payment_method,payment_type,transaction_date,country,city,merchant_name,status
TXN202504170015,ACC89661265,CUST36181595319509204387130251222468541361651844,3358.97,EGP,Bank Transfer,In-store Purchase,2025-05-20T13:37:30Z,Germany,Berlin,QuickBuy,Completed
TXN202504170016,ACC86236778,CUST25964939489777256089174128821517181537605921,894.73,EGP,Debit Card,Online Purchase,2025-05-20T13:37:40Z,Egypt,Cairo,DigitalStore,Cancelled
TXN202504170017,ACC10486508,CUST88542384657844770360285472449796352839859525,2481.74,JOD,Credit Card,Online Purchase,2025-05-20T13:37:50Z,Egypt,Cairo,QuickBuy,Completed
TXN202504170018,ACC28449094,CUST20551186262620503618044674322254011826881408,3002.85,EUR,Credit Card,Online Purchase,2025-05-20T13:38:00Z,USA,New York,DigitalStore,Cancelled
TXN202504170019,ACC89498708,CUST81790553668996977085868144871373115519619860,1358.66,SAR,PayPal,Mobile Payment,2025-05-20T13:38:10Z,USA,New York,MegaMart,Cancelled
TXN202504170020,ACC29167653,CUST79802845223510986826270807126530825742399600,731.19,JOD,Bank Transfer,Mobile Payment,2025-05-20T13:38:20Z,UAE,Dubai,eMarket,Cancelled
TXN202504170021,ACC39282325,CUST08474330019876141596067596212220756027740971,1166.29,EGP,PayPal,Mobile Payment,2025-05-20T13:38:30Z,USA,New York,TechZone Electronics,Cancelled
TXN202504170022,ACC16620723,CUST95396346105733915767693054349538818941963855,3235.93,USD,PayPal,Online Purchase,2025-05-20T13:38:40Z,USA,New York,MegaMart,Failed
TXN202504170023,ACC71248922,CUST33935619559595210909635196454829442223295270,3615.24,SAR,PayPal,Online Purchase,2025-05-20T13:38:50Z,Germany,Berlin,GlobalShop,Completed
TXN202504170024,ACC22274392,CUST09185309526451731176237972320129993278161903,2498.34,SAR,Bank Transfer,In-store Purchase,2025-05-20T13:39:00Z,Jordan,Amman,DigitalStore,Pending
TXN202504170025,ACC35027867,CUST13545164763938533539147841767030549595435893,3633.56,USD,PayPal,Online Purchase,2025-05-20T13:39:10Z,UAE,Dubai,MegaMart,Pending
TXN202504170026,ACC97331378,CUST23658387112161254020972446751786490435442010,4785.15,EGP,Credit Card,Mobile Payment,2025-05-20T13:39:20Z,Germany,Berlin,MegaMart,Failed
TXN202504170027,ACC20669406,CUST25040618698878471699188734381821210097760690,3526.24,EGP,PayPal,Subscription,2025-05-20T13:39:30Z,Egypt,Cairo,eMarket,Pending
TXN202504170028,ACC45212937,CUST90140162997143425611062181888615414757941363,1239.49,USD,Bank Transfer,In-store Purchase,2025-05-20T13:39:40Z,Germany,Berlin,TechZone Electronics,Completed
TXN202504170029,ACC36186862,CUST39866344874721318198152699684740195761699232,2916.82,USD,Bank Transfer,Mobile Payment,2025-05-20T13:39:50Z,Germany,Berlin,DigitalStore,Completed
TXN202504170030,ACC83483864,CUST10336814709904548276764588108478072908134700,3683.21,JOD,PayPal,In-store Purchase,2025-05-20T13:40:00Z,Germany,Berlin,MegaMart,Completed
TXN202504170031,ACC63007943,CUST25757111300640623725388016465259183333722399,3678.78,JOD,Credit Card,Online Purchase,2025-05-20T13:40:10Z,Egypt,Cairo,TechZone Electronics,Pending
TXN202504170032,ACC57332743,CUST06694948787973500366575524399298805260905027,55.09,EGP,Bank Transfer,Subscription,2025-05-20T13:40:20Z,USA,New York,GlobalShop,Pending
TXN202504170033,ACC72758974,CUST41315969588360648215214743673394137932870242,2387.2,USD,Bank Transfer,In-store Purchase,2025-05-20T13:40:30Z,India,Mumbai,QuickBuy,Cancelled
TXN202504170034,ACC72618442,CUST04241162779669795542464352842808785926545345,1177.49,EUR,Bank Transfer,In-store Purchase,2025-05-20T13:40:40Z,Jordan,Amman,DigitalStore,Cancelled
TXN202504170035,ACC32510069,CUST11185763720927982153242548364054975689009605,4512.26,EGP,Credit Card,Subscription,2025-05-20T13:40:50Z,India,Mumbai,QuickBuy,Failed
TXN202504170036,ACC56076254,CUST71060805213005710979577587104653784535309126,2846.31,JOD,Bank Transfer,Online Purchase,2025-05-20T13:41:00Z,India,Mumbai,DigitalStore,Completed
TXN202504170037,ACC69850721,CUST51669831125122083672105450877121676475406366,2984.6,JOD,Debit Card,Subscription,2025-05-20T13:41:10Z,Germany,Berlin,MegaMart,Pending
TXN202504170038,ACC54619611,CUST66186036599958491551068976275789476082029002,4703.62,EUR,PayPal,Subscription,2025-05-20T13:41:20Z,India,Mumbai,MegaMart,Cancelled
TXN202504170039,ACC60163518,CUST97384909887502036139362755423237262844175035,233.63,SAR,Credit Card,Mobile Payment,2025-05-20T13:41:30Z,USA,New York,MegaMart,Pending
TXN202504170040,ACC94915395,CUST26303200282368345485298391524143388617226967,2016.75,USD,PayPal,Online Purchase,2025-05-20T13:41:40Z,Germany,Berlin,TechZone Electronics,Cancelled
TXN202504170041,ACC32943174,CUST86635084114126175986483435749134067622387420,3393.78,USD,Bank Transfer,Subscription,2025-05-20T13:41:50Z,Egypt,Cairo,MegaMart,Pending
TXN202504170042,ACC62843570,CUST55614738668027986813825947397323869019897965,4819.77,SAR,Credit Card,In-store Purchase,2025-05-20T13:42:00Z,UAE,Dubai,TechZone Electronics,Failed
TXN202504170043,ACC41227009,CUST09106526313294028089325763814310676233005371,1499.09,EGP,PayPal,Online Purchase,2025-05-20T13:42:10Z,Egypt,Cairo,DigitalStore,Cancelled
TXN202504170044,ACC31438920,CUST85404072409341008700106786769092300894256246,3498.59,USD,PayPal,Online Purchase,2025-05-20T13:42:20Z,Germany,Berlin,TechZone Electronics,Completed
TXN202504170045,ACC74853959,CUST49816856887454332868157121435661040872211511,2609.21,JOD,PayPal,In-store Purchase,2025-05-20T13:42:30Z,Egypt,Cairo,TechZone Electronics,Cancelled
TXN202504170046,ACC93331479,CUST60711522351091741661580872507210311301311275,4695.86,USD,Bank Transfer,Online Purchase,2025-05-20T13:42:40Z,India,Mumbai,eMarket,Completed
TXN202504170047,ACC66962876,CUST84419104600231718305141343279164332202196917,975.46,EUR,PayPal,Online Purchase,2025-05-20T13:42:50Z,USA,New York,MegaMart,Cancelled
TXN202504170048,ACC47340034,CUST36348558791139692845864642222517373774596265,1553.4,USD,Credit Card,Online Purchase,2025-05-20T13:43:00Z,UAE,Dubai,GlobalShop,Failed
TXN202504170049,ACC78010234,CUST30334796114983124446240522682925289452090070,4781.17,EUR,PayPal,Online Purchase,2025-05-20T13:43:10Z,USA,New York,MegaMart,Pending
TXN202504170050,ACC34678897,CUST81909010759784002607361322775363349976222113,4500.95,EGP,Debit Card,Online Purchase,2025-05-20T13:43:20Z,UAE,Dubai,GlobalShop,Pending
TXN202504170051,ACC44370467,CUST81048252155666585182206893227072450966413482,4712.95,SAR,Debit Card,Mobile Payment,2025-05-20T13:43:30Z,USA,New York,DigitalStore,Cancelled
TXN202504170052,ACC31713884,CUST60697511356223323760692008702227408731347456,1965.38,SAR,Credit Card,Subscription,2025-05-20T13:43:40Z,India,Mumbai,eMarket,Cancelled
TXN202504170053,ACC12095342,CUST87640101909127052965263033429690278892560108,3355.2,USD,PayPal,Online Purchase,2025-05-20T13:43:50Z,Germany,Berlin,TechZone Electronics,Pending
TXN202504170054,ACC64450104,CUST33931757431971181055377212994271350569814741,3504.08,JOD,Debit Card,Online Purchase,2025-05-20T13:44:00Z,India,Mumbai,TechZone Electronics,Cancelled
TXN202504170055,ACC34441640,CUST01647169894035477984520075578434068210924179,1812.96,EGP,Bank Transfer,In-store Purchase,2025-05-20T13:44:10Z,Germany,Berlin,DigitalStore,Failed
TXN202504170056,ACC92690589,CUST34997421246084288498221347722000832044372074,916.62,EGP,PayPal,Subscription,2025-05-20T13:44:20Z,Egypt,Cairo,GlobalShop,Completed
TXN202504170057,ACC39239145,CUST71283081790223896941112915200487100612474948,2389.72,JOD,Bank Transfer,In-store Purchase,2025-05-20T13:44:30Z,UAE,Dubai,DigitalStore,Pending
TXN202504170058,ACC33937246,CUST99964636002171516688262745208586719750462405,3641.81,JOD,Bank Transfer,Online Purchase,2025-05-20T13:44:40Z,USA,New York,MegaMart,Cancelled
TXN202504170059,ACC72534257,CUST13674106110168079775493771713144241987217384,670.7,SAR,Bank Transfer,Subscription,2025-05-20T13:44:50Z,USA,New York,GlobalShop,Completed
TXN202504170060,ACC35073413,CUST53964050510248888599359290687015865482899996,3370.04,SAR,PayPal,Subscription,2025-05-20T13:45:00Z,Egypt,Cairo,eMarket,Completed
TXN202504170061,ACC82194874,CUST29184006407718100850715612812958446963246652,873.34,EUR,PayPal,In-store Purchase,2025-05-20T13:45:10Z,India,Mumbai,eMarket,Cancelled
TXN202504170062,ACC74132584,CUST58856265759591679111639320907000463741784998,867.25,JOD,PayPal,Mobile Payment,2025-05-20T13:45:20Z,USA,New York,QuickBuy,Pending
TXN202504170063,ACC63945500,CUST48561922453243059310064625050442295120970481,3190.24,SAR,Credit Card,In-store Purchase,2025-05-20T13:45:30Z,India,Mumbai,DigitalStore,Failed
TXN202504170064,ACC79040864,CUST12382545164004540853023629231199643968762515,767.53,SAR,Debit Card,Mobile Payment,2025-05-20T13:45:40Z,UAE,Dubai,MegaMart,Cancelled
TXN202504170065,ACC79990085,CUST48232570095701808972552365194145896347163200,4946.32,EGP,Credit Card,Subscription,2025-05-20T13:45:50Z,UAE,Dubai,GlobalShop,Pending
TXN202504170066,ACC85932405,CUST20841729968604099545747422087088969939266818,4441.24,EGP,Debit Card,Mobile Payment,2025-05-20T13:46:00Z,Germany,Berlin,QuickBuy,Pending
TXN202504170067,ACC60657393,CUST55795141462831430443422259026973872990921597,2402.31,USD,Credit Card,Online Purchase,2025-05-20T13:46:10Z,India,Mumbai,GlobalShop,Pending
TXN202504170068,ACC38865211,CUST77602473518314058052632688447606671302859624,2595.28,USD,Credit Card,Subscription,2025-05-20T13:46:20Z,USA,New York,DigitalStore,Cancelled
TXN202504170069,ACC79942792,CUST85220060538119759809400055948897979031532851,2287.77,EGP,Debit Card,Online Purchase,2025-05-20T13:46:30Z,India,Mumbai,TechZone Electronics,Cancelled
TXN202504170070,ACC29128804,CUST48032872460857748929175461746000629220689024,4803.7,USD,Credit Card,Online Purchase,2025-05-20T13:46:40Z,UAE,Dubai,TechZone Electronics,Failed
TXN202504170071,ACC70234144,CUST21617821518886791868606988659398715935336579,173.9,USD,Bank Transfer,In-store Purchase,2025-05-20T13:46:50Z,UAE,Dubai,MegaMart,Completed
TXN202504170072,ACC19472002,CUST01215630580722544773800860750683537336173425,4848.08,SAR,Debit Card,Mobile Payment,2025-05-20T13:47:00Z,UAE,Dubai,TechZone Electronics,Completed
TXN202504170073,ACC81603522,CUST73536288205055408171544162201223966979804267,2276.01,SAR,Credit Card,Online Purchase,2025-05-20T13:47:10Z,India,Mumbai,QuickBuy,Completed
TXN202504170074,ACC60530217,CUST00914487674651607328526159269718629944565997,25.5,EUR,Credit Card,Mobile Payment,2025-05-20T13:47:20Z,India,Mumbai,DigitalStore,Cancelled
TXN202504170075,ACC35841465,CUST00192301701683868679565627910578859083459722,2714.67,EUR,Credit Card,Subscription,2025-05-20T13:47:30Z,Jordan,Amman,GlobalShop,Completed
TXN202504170076,ACC79149718,CUST72515648134034172425482839377795287112180995,2406.57,SAR,Debit Card,Subscription,2025-05-20T13:47:40Z,India,Mumbai,GlobalShop,Pending
TXN202504170077,ACC39635537,CUST38127118368317361708566945328759198436791706,1219.08,EGP,PayPal,In-store Purchase,2025-05-20T13:47:50Z,Egypt,Cairo,DigitalStore,Completed
TXN202504170078,ACC11931612,CUST10359822814286717739629820279268355655915705,1174.93,SAR,Debit Card,Mobile Payment,2025-05-20T13:48:00Z,Jordan,Amman,MegaMart,Pending
TXN202504170079,ACC73705324,CUST87268446592314410257575374065585806803958245,3841.13,JOD,PayPal,Online Purchase,2025-05-20T13:48:10Z,Germany,Berlin,TechZone Electronics,Completed
TXN202504170080,ACC23207618,CUST33499309133876253528111386081577014718569138,3147.6,EGP,Bank Transfer,Subscription,2025-05-20T13:48:20Z,Egypt,Cairo,QuickBuy,Cancelled
TXN202504170081,ACC35545757,CUST88003264205065189008871051131045887496162472,3258.34,EGP,Credit Card,Subscription,2025-05-20T13:48:30Z,Jordan,Amman,QuickBuy,Cancelled
TXN202504170082,ACC44096189,CUST68917385326304059540706222122018271422125387,3482.38,SAR,Credit Card,Online Purchase,2025-05-20T13:48:40Z,USA,New York,DigitalStore,Completed
TXN202504170083,ACC99532854,CUST89593132297243772154600006571667722874400801,478.9,EUR,Credit Card,Subscription,2025-05-20T13:48:50Z,India,Mumbai,eMarket,Cancelled
TXN202504170084,ACC15089905,CUST47496370561504132785727412575903442606498089,2160.55,JOD,Debit Card,Mobile Payment,2025-05-20T13:49:00Z,Jordan,Amman,TechZone Electronics,Failed
TXN202504170085,ACC25648104,CUST36664508386764441517053214639952219527550550,365.33,EGP,Debit Card,Online Purchase,2025-05-20T13:49:10Z,Germany,Berlin,GlobalShop,Cancelled
TXN202504170086,ACC30404957,CUST30032247774280614443987450083594931932873654,1330.17,EUR,Debit Card,In-store Purchase,2025-05-20T13:49:20Z,USA,New York,MegaMart,Completed
TXN202504170087,ACC13856953,CUST81482838256261113653297034437213829831617152,1740.56,JOD,Credit Card,Mobile Payment,2025-05-20T13:49:30Z,Egypt,Cairo,MegaMart,Pending
TXN202504170088,ACC82415213,CUST63508996750201076908792086458411305384896416,3009.36,SAR,Bank Transfer,Mobile Payment,2025-05-20T13:49:40Z,UAE,Dubai,eMarket,Cancelled
TXN202504170089,ACC30510556,CUST13167575073159718280418392942099528427523874,267.02,USD,Debit Card,Online Purchase,2025-05-20T13:49:50Z,Germany,Berlin,TechZone Electronics,Failed
TXN202504170090,ACC46134786,CUST06460515446426611175015078913396819174148100,47.89,EGP,PayPal,Mobile Payment,2025-05-20T13:50:00Z,Egypt,Cairo,MegaMart,Pending
TXN202504170091,ACC49856532,CUST51901977886323068465325217494570924384186032,4695.67,EGP,Bank Transfer,Mobile Payment,2025-05-20T13:50:10Z,Jordan,Amman,TechZone Electronics,Pending
TXN202504170092,ACC28960257,CUST33789337245288286476978870495651130523412072,2257.16,JOD,PayPal,Online Purchase,2025-05-20T13:50:20Z,India,Mumbai,QuickBuy,Failed
TXN202504170093,ACC96807519,CUST32998092592295922767523430791311510560152464,4014.56,JOD,Credit Card,Online Purchase,2025-05-20T13:50:30Z,Jordan,Amman,TechZone Electronics,Completed
TXN202504170094,ACC28033020,CUST84829872495009852510109157155720396933847561,882.28,USD,Credit Card,In-store Purchase,2025-05-20T13:50:40Z,Germany,Berlin,eMarket,Pending
TXN202504170095,ACC94867812,CUST97941713081962062074772503913952056290896815,3061.55,EUR,PayPal,Online Purchase,2025-05-20T13:50:50Z,Egypt,Cairo,eMarket,Cancelled
TXN202504170096,ACC18736640,CUST13228394546435701709361135909255238918734455,4251.19,EGP,Credit Card,Subscription,2025-05-20T13:51:00Z,India,Mumbai,TechZone Electronics,Cancelled
TXN202504170097,ACC87478453,CUST05303608866141792697780162110388465789704397,4323.6,USD,Debit Card,Subscription,2025-05-20T13:51:10Z,UAE,Dubai,DigitalStore,Pending
TXN202504170098,ACC94945210,CUST64613436954024770675514261745230705948426004,3982.45,EGP,Debit Card,In-store Purchase,2025-05-20T13:51:20Z,Egypt,Cairo,MegaMart,Cancelled
TXN202504170099,ACC66272970,CUST13049408537358963297729474729513809332069353,4037.94,EUR,Credit Card,In-store Purchase,2025-05-20T13:51:30Z,Germany,Berlin,eMarket,Failed
TXN202504170100,ACC74481067,CUST45161086796635045652589897903332715221684162,487.02,JOD,PayPal,Online Purchase,2025-05-20T13:51:40Z,Egypt,Cairo,MegaMart,Failed
TXN202504170101,ACC13780060,CUST18942129508784094828618723775699868177175080,4641.36,JOD,PayPal,Mobile Payment,2025-05-20T13:51:50Z,UAE,Dubai,TechZone Electronics,Completed
TXN202504170102,ACC48768564,CUST19191098061548132476519938463522222906696282,3404.8,EGP,PayPal,In-store Purchase,2025-05-20T13:52:00Z,India,Mumbai,TechZone Electronics,Completed
TXN202504170103,ACC31370825,CUST51592447882617936487593798973437768980105334,1331.11,JOD,Debit Card,Subscription,2025-05-20T13:52:10Z,Jordan,Amman,GlobalShop,Failed
TXN202504170104,ACC22183669,CUST22628087331155550387720899362393274805833566,522.72,USD,PayPal,Online Purchase,2025-05-20T13:52:20Z,UAE,Dubai,MegaMart,Failed
TXN202504170105,ACC90843629,CUST03042593968767409163400253632307114622640603,1839.39,USD,Credit Card,Mobile Payment,2025-05-20T13:52:30Z,UAE,Dubai,GlobalShop,Pending
TXN202504170106,ACC77114186,CUST57799282383499703144608024897208540245064649,4634.66,JOD,PayPal,Mobile Payment,2025-05-20T13:52:40Z,Jordan,Amman,TechZone Electronics,Completed
TXN202504170107,ACC51142678,CUST28520236544825733331532427605002253852691605,3546.98,USD,Credit Card,Subscription,2025-05-20T13:52:50Z,Germany,Berlin,QuickBuy,Cancelled
TXN202504170108,ACC25179515,CUST30743087214294765901377717604637447342411373,4513.76,SAR,Debit Card,Subscription,2025-05-20T13:53:00Z,India,Mumbai,MegaMart,Completed
TXN202504170109,ACC19300192,CUST11616398216541722464963127657482398446986436,1059.22,EGP,Credit Card,Mobile Payment,2025-05-20T13:53:10Z,USA,New York,eMarket,Cancelled
TXN202504170110,ACC45088539,CUST21826014668863739989493358338586492089283237,2011.26,EUR,Debit Card,Online Purchase,2025-05-20T13:53:20Z,USA,New York,TechZone Electronics,Completed
TXN202504170111,ACC48802603,CUST46676429066879914095692692799578597796136477,1693.16,USD,Credit Card,Subscription,2025-05-20T13:53:30Z,Jordan,Amman,DigitalStore,Cancelled
TXN202504170112,ACC25520234,CUST31917231216856424994470031098607005498647578,2180.51,EGP,Debit Card,Subscription,2025-05-20T13:53:40Z,UAE,Dubai,GlobalShop,Failed
TXN202504170113,ACC22857254,CUST23913573807407526878921877029788363952916511,3935.94,EGP,Credit Card,Mobile Payment,2025-05-20T13:53:50Z,India,Mumbai,GlobalShop,Pending
TXN202504170114,ACC79646814,CUST57118455394061478577380334190590880050547304,4400.89,SAR,Bank Transfer,Online Purchase,2025-05-20T13:54:00Z,Germany,Berlin,DigitalStore,Completed
TXN202504170115,ACC65402039,CUST00015531977097338218363946596008367448550572,3466.21,EUR,Credit Card,Mobile Payment,2025-05-20T13:54:10Z,UAE,Dubai,eMarket,Completed
TXN202504170116,ACC15347981,CUST56795250546462981728440714932772589547141231,2826.71,EUR,Bank Transfer,Mobile Payment,2025-05-20T13:54:20Z,Germany,Berlin,QuickBuy,Pending
TXN202504170117,ACC23332785,CUST51009127192374816147561833095293413328526253,4416.38,EGP,PayPal,Online Purchase,2025-05-20T13:54:30Z,Jordan,Amman,DigitalStore,Completed
TXN202504170118,ACC70836331,CUST71584091086248469078560972046758107648955244,563.38,SAR,Credit Card,In-store Purchase,2025-05-20T13:54:40Z,USA,New York,QuickBuy,Completed
TXN202504170119,ACC68469989,CUST89927347102649288006230938166374795968348802,1050.27,USD,Debit Card,Subscription,2025-05-20T13:54:50Z,Germany,Berlin,QuickBuy,Cancelled
TXN202504170120,ACC60387642,CUST12172205159300554496772113242658763488690775,198.71,EGP,PayPal,Subscription,2025-05-20T13:55:00Z,Jordan,Amman,GlobalShop,Failed
TXN202504170121,ACC19024819,CUST98109782949772845973079739419036642894573070,1153.04,SAR,Debit Card,Online Purchase,2025-05-20T13:55:10Z,Jordan,Amman,DigitalStore,Completed
TXN202504170122,ACC24557079,CUST27610730736160467237304430038354487092286365,2441.07,EUR,PayPal,Mobile Payment,2025-05-20T13:55:20Z,Germany,Berlin,TechZone Electronics,Failed
TXN202504170123,ACC11730309,CUST84730855805917434508327663872233189688763637,3015.83,SAR,Bank Transfer,Subscription,2025-05-20T13:55:30Z,Egypt,Cairo,TechZone Electronics,Pending
TXN202504170124,ACC29624231,CUST70014753777094583887826328178955200901654448,4346.97,USD,Debit Card,Online Purchase,2025-05-20T13:55:40Z,Egypt,Cairo,MegaMart,Pending
TXN202504170125,ACC99982655,CUST94946039739064129645437887452823385230915751,105.6,EUR,Bank Transfer,Mobile Payment,2025-05-20T13:55:50Z,UAE,Dubai,MegaMart,Completed
TXN202504170126,ACC67611130,CUST49194638003881405464968984198539047215551276,1024.18,SAR,Bank Transfer,Subscription,2025-05-20T13:56:00Z,UAE,Dubai,DigitalStore,Failed
TXN202504170127,ACC23086693,CUST23827036103130248502824566778520002464203694,4729.53,SAR,Bank Transfer,Mobile Payment,2025-05-20T13:56:10Z,Jordan,Amman,MegaMart,Completed
TXN202504170128,ACC67494306,CUST78270027572509239174332165100920147362056460,2302.87,USD,Bank Transfer,Mobile Payment,2025-05-20T13:56:20Z,Jordan,Amman,GlobalShop,Pending
TXN202504170129,ACC22672687,CUST09778426839975079709174120994784261377007264,3821.37,JOD,Bank Transfer,Online Purchase,2025-05-20T13:56:30Z,India,Mumbai,MegaMart,Completed
TXN202504170130,ACC49013339,CUST53944826549723661561978293902496276187971018,1798.18,JOD,Debit Card,Mobile Payment,2025-05-20T13:56:40Z,Germany,Berlin,DigitalStore,Completed
TXN202504170131,ACC76899119,CUST07160864412850458069606088451758970780734262,2297.96,SAR,PayPal,Mobile Payment,2025-05-20T13:56:50Z,UAE,Dubai,eMarket,Completed
TXN202504170132,ACC39876237,CUST81093400282022975352899069692129155676634468,2231.85,EGP,Bank Transfer,Mobile Payment,2025-05-20T13:57:00Z,USA,New York,QuickBuy,Completed
TXN202504170133,ACC26514329,CUST71762765164126396710073406834598148501078705,2559.47,USD,PayPal,Online Purchase,2025-05-20T13:57:10Z,Egypt,Cairo,MegaMart,Failed
TXN202504170134,ACC39281485,CUST20974300044982025043919505223603281742226468,3377.64,SAR,Debit Card,In-store Purchase,2025-05-20T13:57:20Z,USA,New York,QuickBuy,Completed
TXN202504170135,ACC83193616,CUST45576600173211800758147628710937688252491776,3026.99,SAR,Debit Card,In-store Purchase,2025-05-20T13:57:30Z,India,Mumbai,QuickBuy,Cancelled
TXN202504170136,ACC12937901,CUST76210773834764354132499516176838704823016935,2577.43,USD,Debit Card,In-store Purchase,2025-05-20T13:57:40Z,Germany,Berlin,MegaMart,Failed
TXN202504170137,ACC90553533,CUST47420707067713811589220892874471708623521074,2453.58,EUR,Debit Card,Mobile Payment,2025-05-20T13:57:50Z,USA,New York,eMarket,Failed
TXN202504170138,ACC26839152,CUST41657604991079101872428003073309842677825038,1654.92,USD,PayPal,Mobile Payment,2025-05-20T13:58:00Z,UAE,Dubai,GlobalShop,Completed
TXN202504170139,ACC42874474,CUST40216586866718624439417953280005677769929466,307.51,USD,PayPal,In-store Purchase,2025-05-20T13:58:10Z,USA,New York,DigitalStore,Pending
TXN202504170140,ACC16795310,CUST26813777184159911918825680986381392899251408,2089.25,JOD,PayPal,Subscription,2025-05-20T13:58:20Z,Germany,Berlin,eMarket,Failed
TXN202504170141,ACC77169513,CUST94062471354693168337523877559158661061519459,2340.64,JOD,Debit Card,Mobile Payment,2025-05-20T13:58:30Z,Germany,Berlin,DigitalStore,Cancelled
TXN202504170142,ACC44122415,CUST93938519421651569276190433503928015045175793,1760.45,USD,Debit Card,In-store Purchase,2025-05-20T13:58:40Z,Egypt,Cairo,TechZone Electronics,Completed
TXN202504170143,ACC94223371,CUST87666462642944027150038874163911206902840476,193.99,JOD,PayPal,Online Purchase,2025-05-20T13:58:50Z,Jordan,Amman,GlobalShop,Pending
TXN202504170144,ACC36033892,CUST02196742032851646923128947213036246226062057,4860.34,EGP,Debit Card,Subscription,2025-05-20T13:59:00Z,Germany,Berlin,eMarket,Completed
TXN202504170145,ACC86390134,CUST56408288642912091837860907771603800080654385,3391.49,USD,PayPal,In-store Purchase,2025-05-20T13:59:10Z,India,Mumbai,eMarket,Pending
TXN202504170146,ACC21864796,CUST65624173785417032001172299074261512323960853,3999.07,EGP,Bank Transfer,In-store Purchase,2025-05-20T13:59:20Z,Jordan,Amman,MegaMart,Cancelled
TXN202504170147,ACC64508327,CUST34045296015488107234364992727346203149367531,2668.16,USD,PayPal,Mobile Payment,2025-05-20T13:59:30Z,UAE,Dubai,GlobalShop,Pending
TXN202504170148,ACC65265782,CUST50450568777320440565785815430862778963398643,378.82,JOD,Credit Card,Subscription,2025-05-20T13:59:40Z,USA,New York,MegaMart,Failed
TXN202504170149,ACC81448150,CUST17613413930141016462452880570367798885281849,1229.82,JOD,Bank Transfer,Subscription,2025-05-20T13:59:50Z,Jordan,Amman,eMarket,Completed
TXN202504170150,ACC31586988,CUST57325233077780303613874442038273129606852799,4747.98,EGP,Debit Card,Mobile Payment,2025-05-20T14:00:00Z,USA,New York,MegaMart,Pending
TXN202504170151,ACC49518083,CUST24004819908780833161720881285658048550060001,2070.43,EUR,Bank Transfer,In-store Purchase,2025-05-20T14:00:10Z,USA,New York,QuickBuy,Pending
TXN202504170152,ACC97308207,CUST09323290966112814761832158729599405798717995,4872.48,SAR,Bank Transfer,Subscription,2025-05-20T14:00:20Z,India,Mumbai,QuickBuy,Failed
